source	stratum	stratum_label	model_id	model_label	group_type	removed_group_id	removed_n	removed_fraction	effective_groups	full_n	reduced_n	full_spearman	reduced_spearman	spearman_shift	full_delta_mae	reduced_delta_mae	delta_mae_shift	full_coverage_90	reduced_coverage_90
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_interaction	HGB interaction fusion	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	138	0.378082191780822	6.14308110849817	365	227	0.291163885271159	0.322633564798137	0.0314696795269781	-0.436356992339567	-0.428459439019038	0.00789755332052944		
BioLiP/MOAD	protein_identity_cold	Target cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	document_component	db_e91df234ec6d3f2d	18	0.0493150684931507	88.8759172781857	365	347	0.128141614874596	0.126752032948543	-0.00138958192605337	-0.386566588355411	-0.356213180891674	0.0303534074637374	0.613698630136986	0.593659942363112
BioLiP/MOAD	protein_identity_cold	Target cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_a8d79a46ca8d7b92	21	0.0575342465753425	52.2655943507258	365	344	0.128141614874596	0.0938865889014914	-0.0342550259731047	-0.386566588355411	-0.32038147752829	0.0661851108271209	0.613698630136986	0.59593023255814
BioLiP/MOAD	protein_identity_cold	Target cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	138	0.378082191780822	6.14308110849817	365	227	0.128141614874596	0.167053152528564	0.0389115376539675	-0.386566588355411	-0.38147286280413	0.0050937255512814	0.613698630136986	0.634361233480176
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_molecule	HGB ligand only	document_component	db_9cd5c3b339be53db	42	0.0596590909090909	89.8180500181223	704	662	0.387639662185052	0.363513772911591	-0.0241258892734618	-0.342863036697373	-0.289572106004661	0.0532909306927122		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_molecule	HGB ligand only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_cdf621721d09cca4	47	0.0667613636363636	62.3573225968797	704	657	0.387639662185052	0.365610800014547	-0.0220288621705056	-0.342863036697373	-0.347052915100218	-0.00418987840284502		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_molecule	HGB ligand only	ligand_scaffold	ccda8427f6d1e4bb6bcd699df6ef40a5d15d08651735a6d96732023160008e17	39	0.0553977272727273	116.835454974069	704	665	0.387639662185052	0.373998617048246	-0.0136410451368064	-0.342863036697373	-0.304367546264896	0.0384954904324764		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_protein	HGB protein only	document_component	db_9cd5c3b339be53db	42	0.0596590909090909	89.8180500181223	704	662	-0.0292989379396784	-0.0706208770149604	-0.041321939075282	0.0751553756838074	0.101657016920855	0.0265016412370479		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_protein	HGB protein only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_cdf621721d09cca4	47	0.0667613636363636	62.3573225968797	704	657	-0.0292989379396784	0.00222437058084548	0.0315233085205239	0.0751553756838074	0.0852327421287141	0.0100773664449066		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_protein	HGB protein only	ligand_scaffold	ccda8427f6d1e4bb6bcd699df6ef40a5d15d08651735a6d96732023160008e17	39	0.0553977272727273	116.835454974069	704	665	-0.0292989379396784	-0.0549262292729886	-0.0256272913333102	0.0751553756838074	0.0935635973951598	0.0184082217113524		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_additive	HGB additive fusion	document_component	db_9cd5c3b339be53db	42	0.0596590909090909	89.8180500181223	704	662	0.234040395599365	0.211033741174726	-0.0230066544246392	-0.223251254886952	-0.188341262409531	0.0349099924774209		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_additive	HGB additive fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_cdf621721d09cca4	47	0.0667613636363636	62.3573225968797	704	657	0.234040395599365	0.201823003609701	-0.0322173919896648	-0.223251254886952	-0.21720129823992	0.00604995664703167		
