source	stratum	stratum_label	model_id	model_label	n	mae	baseline_mae	delta_mae	delta_mae_document_ci95_low	delta_mae_document_ci95_high	delta_mae_scaffold_ci95_low	delta_mae_scaffold_ci95_high	delta_mae_protein_cluster_ci95_low	delta_mae_protein_cluster_ci95_high	delta_mae_three_way_ci95_low	delta_mae_three_way_ci95_high	delta_mae_dependence_envelope_ci95_low	delta_mae_dependence_envelope_ci95_high	r2	mean_bias	mean_bias_three_way_ci95_low	mean_bias_three_way_ci95_high	calibration_slope	calibration_slope_three_way_ci95_low	calibration_slope_three_way_ci95_high	coverage_90	coverage_90_document_ci95_low	coverage_90_document_ci95_high	coverage_90_three_way_ci95_low	coverage_90_three_way_ci95_high	coverage_90_dependence_envelope_ci95_low	coverage_90_dependence_envelope_ci95_high
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	365	1.23610518182817	1.76554946768767	-0.529444285859495	-0.704607751398757	-0.354280820320233	-0.64121858022744	-0.41766999149155	-0.768605001148041	-0.29028357057095	-0.64199636402282	-0.416892207696171	-0.768605001148041	-0.29028357057095	0.0800464766078239	0.153464691953998	-0.071607218794079	0.378536602702074	0.841480507571991	0.469461284188964	1.21349973095502							
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_protein	HGB protein only	365	1.74292493117152	1.76554946768767	-0.0226245365161522	-0.126924359619729	0.081675286587425	-0.112888047741366	0.0676389747090616	-0.13396176395761	0.0887126909253055	-0.0966672439578123	0.051418170925508	-0.13396176395761	0.0887126909253055	-0.670606352951622	1.23612576802211	1.05917979946679	1.41307173657743	0.202943745203178	-0.135011372846342	0.540898863252697							
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	365	1.33007643271434	1.76554946768767	-0.435473034973329	-0.580551288454554	-0.290394781492106	-0.52219453862215	-0.34875153132451	-0.629895573624553	-0.241050496322106	-0.517522493837153	-0.353423576109507	-0.629895573624553	-0.241050496322106	-0.0140944452202174	0.457246563524229	0.247734986602877	0.666758140445581	0.752737986682702	0.372057433109541	1.13341854025586							
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_interaction	HGB interaction fusion	365	1.3291924753481	1.76554946768767	-0.436356992339567	-0.574883953624876	-0.297830031054259	-0.518209482030629	-0.354504502648505	-0.621280945971307	-0.251433038707827	-0.528323878916756	-0.344390105762379	-0.621280945971307	-0.251433038707828	-0.00225271321313603	0.488700062287576	0.305080845051744	0.672319279523408	0.84903157390953	0.516417667096916	1.18164548072214							
BioLiP/MOAD	protein_identity_cold	Target cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	365	1.37898287933226	1.76554946768767	-0.386566588355411	-0.549385831807299	-0.223747344903524	-0.481833651061415	-0.291299525649408	-0.596503762916333	-0.176629413794489	-0.466956278011074	-0.306176898699749	-0.596503762916333	-0.176629413794489	-0.151224641319845	0.441455424170355	0.196313625700766	0.686597222639943	0.333880989079567	0.0360447351637235	0.631717242995411	0.613698630136984	0.523206154223047	0.704191106050921	0.551291608041617	0.676105652232351	0.519057565451703	0.708339694822266
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_molecule	HGB ligand only	704	1.24665443642011	1.58951747311748	-0.342863036697373	-0.488871333424498	-0.196854739970248	-0.464989136553228	-0.220736936841518	-0.492370054530796	-0.193356018863949	-0.450708267525616	-0.23501780586913	-0.492370054530796	-0.193356018863949	0.122077063096029	0.280641792228681	0.0721484063467358	0.489135178110626	0.928920690741032	0.732520193558546	1.12532118792352							
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_protein	HGB protein only	704	1.66467284880129	1.58951747311748	0.0751553756838074	-0.0135676917148613	0.163878443082476	0.00228358369837804	0.148027167669236	-0.0197139893580497	0.170024740725664	-0.00385448424811258	0.154165235615727	-0.0197139893580495	0.170024740725664	-0.52851755175445	1.02015448588947	0.717429669515254	1.32287930226369	-0.000252412887505003	-0.360566828565887	0.360062002790877							
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_additive	HGB additive fusion	704	1.36626621823053	1.58951747311748	-0.223251254886952	-0.328808423455441	-0.117694086318463	-0.313052114027525	-0.133450395746379	-0.331331396284221	-0.115171113489683	-0.300910496330202	-0.145592013443701	-0.331331396284221	-0.115171113489683	-0.0621195580957796	0.548826434824791	0.30353675808551	0.794116111564073	0.673898021709007	0.306256150524681	1.04153989289333							
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_interaction	HGB interaction fusion	704	1.37308402305757	1.58951747311748	-0.216433450059907	-0.318832586581026	-0.114034313538789	-0.303543819797138	-0.129323080322676	-0.321771257958066	-0.111095642161748	-0.294877227494583	-0.137989672625231	-0.321771257958066	-0.111095642161749	-0.0752540869638776	0.578692780135967	0.327598378014911	0.829787182257022	0.668489775178611	0.285215045334007	1.05176450502321							
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	704	1.32119490147451	1.58951747311748	-0.268322571642972	-0.432631238178943	-0.104013905107	-0.399841489234709	-0.136803654051234	-0.438793442311452	-0.0978517009744917	-0.394499877739382	-0.142145265546561	-0.438793442311452	-0.0978517009744917	0.0196713308243801	0.364999989433293	0.129652257439244	0.600347721427342	0.686209185123668	0.342729729743594	1.02968864050374	0.64488636363636	0.57005154159131	0.719721185681411	0.569297072005452	0.720475655267268	0.558824649868752	0.730948077403969
