external_cold_category	category	outcome	inference_scheme	cluster_variables	n	estimate	standard_error	ci95_lower	ci95_upper	scaffold_clusters	protein_clusters	primary_documents	document_components
seen_molecule_and_protein_cluster_new_pair	New relation	mean_bias	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	496	0.763016262556413	0.143656845720719	0.481448844943804	1.04458368016902	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	calibration_slope	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	496	0.237096187771653	0.0784037154761753	0.0834249054383492	0.390767470104957	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	delta_mae	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	496	0.33274219903969	0.0445040613239697	0.245514238844709	0.41997015923467	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	coverage_90	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	496	0.721774193548382	0.0093922718513219	0.703365340719791	0.740183046376973	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	mean_bias	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	496	0.763016262556413	0.129202362681025	0.509779631701603	1.01625289341122	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	calibration_slope	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	496	0.237096187771653	0.0801578827258079	0.0799867376290694	0.394205637914236	72	47	37	31
strict_scaffold_protein_identity_double_cold	Double cold	delta_mae	Pair-level HC1	none	15760	0.0451900679396583	0.00617888375733694	0.0330794557752779	0.0573006801040387	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	coverage_90	Pair-level HC1	none	15760	0.660723350253987	0.00377157271592593	0.653331067730772	0.668115632777202	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	mean_bias	Pair-level HC1	none	15760	0.183273455173709	0.0115908300487739	0.160555428278112	0.205991482069306	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	calibration_slope	Pair-level HC1	none	15760	0.343528737343363	0.0148852034693646	0.314353738543409	0.372703736143318	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	delta_mae	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	15760	0.0451900679396583	0.0233881306831396	-0.000650668199295212	0.0910308040786119	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	coverage_90	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	15760	0.660723350253987	0.0117653445646858	0.637663274907203	0.683783425600771	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	mean_bias	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	15760	0.183273455173709	0.0568047117596872	0.0719362201247223	0.294610690222696	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	calibration_slope	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	15760	0.343528737343363	0.0580675060688909	0.229716425448337	0.45734104923839	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	delta_mae	Primary document	primary_document_id	15760	0.0451900679396583	0.0336830969574531	-0.0208288020969497	0.111208937976266	5152	2441	1896	1694
