resampling_unit	model_id	endpoint	resampling_units	fragility_flag	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
scaffold	smiles_protein_cross_attention_v1_8	source_wide_spearman	1346	none	0.20877728606635118	0.03405596579413881	0.14174597688715054	0.27829359734074766	2000
scaffold	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	1346	none	0.2058620354824057	0.029628762363020995	0.1392313894442702	0.25697587120721294	2000
scaffold	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	1346	none	0.5478717626734361	0.014904777734685778	0.5154769150682511	0.574393161847739	2000
scaffold	smiles_protein_cross_attention_v1_8	target_rank_attenuation	1346	none	0.0029152505839454834	0.040857037191236525	-0.0672185040150913	0.0912094706709293	2000
source_origin	global_top5_morgan_similarity_v1_8	source_wide_spearman	4	fewer_than_10_resampling_units	0.17453962403294246	0.03532799646914833	0.10021422596229825	0.2358550288261761	2000
source_origin	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	4	fewer_than_10_resampling_units	0.03153500819771083	0.02140331824403414	-0.02253783304927919	0.05754035113106325	2000
source_origin	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	4	fewer_than_10_resampling_units	0.5035113609219793	0.012292364227394666	0.48549042823100264	0.5393635688182924	2000
source_origin	global_top5_morgan_similarity_v1_8	target_rank_attenuation	4	fewer_than_10_resampling_units	0.14300461583523164	0.028419619300428328	0.09137753292260312	0.20159212643641783	2000
source_origin	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	4	fewer_than_10_resampling_units	0.2669829807786111	0.07216021570130507	0.08543519795159707	0.33739472732014053	2000
source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	4	fewer_than_10_resampling_units	0.12165279636341413	0.03385079921748006	0.034200663862595675	0.15626626228172003	2000
source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	4	fewer_than_10_resampling_units	0.5403762073110209	0.014514244588936796	0.5123421899780342	0.5595939700348197	2000
source_origin	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	4	fewer_than_10_resampling_units	0.14533018441519696	0.05299765333322135	0.04669622791189747	0.22785024481625893	2000
source_origin	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	4	fewer_than_10_resampling_units	0.21514612834553887	0.07090593173913778	0.07018966398963404	0.31880816227553577	2000
source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	4	fewer_than_10_resampling_units	0.15576677189474436	0.03510086236343648	0.05480289105373611	0.19103715503301927	2000
source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	4	fewer_than_10_resampling_units	0.5276206458519298	0.022421658859054526	0.4819263394825615	0.5701431201911127	2000
source_origin	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	4	fewer_than_10_resampling_units	0.05937935645079451	0.08917603952076232	-0.0920617764749854	0.2370325010575977	2000
source_origin	smiles_protein_cross_attention_v1_8	source_wide_spearman	4	fewer_than_10_resampling_units	0.20877728606635118	0.0904092319861601	-0.06650953271266555	0.2812442997893275	2000
source_origin	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	4	fewer_than_10_resampling_units	0.2058620354824057	0.0406495495126118	0.10795706225057292	0.26298740892644795	2000
source_origin	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	4	fewer_than_10_resampling_units	0.5478717626734361	0.01360643469654313	0.5035039383587322	0.565639728908295	2000
source_origin	smiles_protein_cross_attention_v1_8	target_rank_attenuation	4	fewer_than_10_resampling_units	0.0029152505839454834	0.06167034529900918	-0.16587851416044158	0.06569966765768814	2000
