between_to_within_signal_ratio	local_prediction_signal	replicate	global_spearman	pooled_within_target_centered_spearman	macro_target_spearman	attenuation
0.25	0.05	160	0.06497987845824892	-0.0020999042360446084	-0.005664335664335659	0.06707978269429353
0.25	0.05	161	0.047045185448045444	-0.009597458053790316	0.00398601398601399	0.05664264350183576
0.25	0.05	162	0.07977250678646304	0.02082363946086074	0.008951048951048958	0.0589488673256023
0.25	0.05	163	0.075149135520233	0.014850732535230927	0.01062937062937062	0.060298402985002074
0.25	0.05	164	0.04761740806764449	-0.016745796351247465	-0.01237762237762238	0.06436320441889196
0.25	0.05	165	0.09084514642024057	0.04489269784215128	0.05125874125874126	0.045952448578089285
0.25	0.05	166	0.09731473424634324	0.052282383529433	0.042727272727272725	0.04503235071691024
0.25	0.05	167	0.0676896858956152	0.013901745765101227	0.020629370629370643	0.05378794013051398
0.25	0.05	168	0.0918172790397771	0.024913850634618494	0.014615384615384615	0.0669034284051586
0.25	0.05	169	0.1353919898555485	0.07833008911811744	0.045804195804195806	0.05706190073743107
0.25	0.05	170	0.09362000945833991	0.05987027768769285	0.06755244755244756	0.033749731770647065
0.25	0.05	171	0.040132625092100756	-0.009661367820394319	0.007902097902097904	0.049793992912495075
0.25	0.05	172	0.08134690371312758	0.020147437602387224	0.016503496503496504	0.061199466110740355
0.25	0.05	173	0.12436390580826791	0.06385929434673218	0.0732867132867133	0.060504611461535726
0.25	0.05	174	0.09938246484893391	0.03691690758118583	0.00853146853146853	0.062465557267748086
0.25	0.05	175	0.05614924038141692	-0.025397559303860628	-0.027902097902097907	0.08154679968527755
0.25	0.05	176	0.025099406319032163	-0.03180642486557282	-0.02979020979020979	0.05690583118460499
0.25	0.05	177	0.022711189382770405	-0.016714907440907947	-0.03615384615384616	0.039426096823678355
0.25	0.05	178	0.07878108248686283	0.033066196573747625	0.033566433566433566	0.045714885913115205
0.25	0.05	179	0.09357843998502777	0.022186939018707653	0.020209790209790204	0.07139150096632012
0.25	0.05	180	0.09704433822523488	0.04207631394188468	0.0402097902097902	0.0549680242833502
0.25	0.05	181	0.10657697678956721	0.050139854263787684	0.04160839160839161	0.05643712252577952
0.25	0.05	182	0.07916074247273783	0.04286118254248788	0.0265034965034965	0.03629955993024995
0.25	0.05	183	0.1042664126850088	0.051515195496663536	0.0683916083916084	0.052751217188345266
0.25	0.05	184	0.0782082487557283	0.03690926174254287	0.03426573426573426	0.04129898701318542
0.25	0.05	185	0.08936224261266848	0.012929272867550601	-0.005664335664335663	0.07643296974511787
0.25	0.05	186	0.09176438316971053	0.05193066800740834	0.055104895104895114	0.03983371516230219
0.25	0.05	187	0.0863911780494292	0.027695533121898	0.03321678321678322	0.058695644927531196
0.25	0.05	188	0.05076584775406094	-0.02205089031311827	-0.03839160839160839	0.07281673806717921
0.25	0.05	189	0.015010621535153843	-0.06310020354180801	-0.06118881118881119	0.07811082507696185
0.25	0.05	190	0.06949880520750362	0.02118032720856056	0.027552447552447564	0.048318477998943066
0.25	0.05	191	0.07310748132463982	0.03173882759640805	0.020209790209790208	0.041368653728231765
0.25	0.05	192	0.06718471332271758	0.003061335459260736	0.010769230769230769	0.06412337786345684
0.25	0.05	193	0.04067394491246175	0.004877906165212615	-0.0032167832167832155	0.03579603874724913
0.25	0.05	194	0.07552255244621697	0.02244198086248671	0.004965034965034964	0.053080571583730266
0.25	0.05	195	0.07575196232775161	-0.0009167228588353186	-0.0041958041958041975	0.07666868518658693
0.25	0.05	196	0.04726799810277646	-0.014110454243371	-0.009230769230769223	0.06137845234614746
0.25	0.05	197	0.021426598212915426	-0.02143011210424452	-0.0141958041958042	0.04285671031715994
0.25	0.05	198	0.07966218032095855	0.0301832362383585	0.01846153846153846	0.04947894408260005
0.25	0.05	199	0.036181115403552365	-0.0012565355948163852	0.016153846153846164	0.03743765099836875
0.25	0.05	200	0.07890529090645203	0.030356326636337944	0.021328671328671337	0.048548964270114084
0.25	0.05	201	0.0877436928775645	0.022131591758049834	0.015944055944055943	0.06561210111951467
0.25	0.05	202	0.0347835241552251	-0.01934029120853556	-0.012237762237762241	0.05412381536376066
0.25	0.05	203	0.06620317791887355	0.012897703401182917	0.019930069930069932	0.05330547451769063
0.25	0.05	204	0.03570719146332741	-0.03143390377354429	-0.033986013986013995	0.0671410952368717
0.25	0.05	205	0.1025051336841206	0.035841552667744914	0.036573426573426576	0.06666358101637569
