stratum	control	replicate	spearman	mae
all_exact_kd	protein_permutation	98	0.27701705781653135	1.4359463541461945
all_exact_kd	protein_permutation	99	0.2365494135328447	1.4513150677492344
all_exact_kd	ligand_permutation	0	0.2871623857406465	1.4576478541929354
all_exact_kd	ligand_permutation	1	0.26382124129567536	1.4697302201050921
all_exact_kd	ligand_permutation	2	0.2877489241241964	1.4497199620076777
all_exact_kd	ligand_permutation	3	0.2726960023035147	1.4568334780163728
all_exact_kd	ligand_permutation	4	0.2990504987096066	1.4397865316558647
all_exact_kd	ligand_permutation	5	0.27686326938051353	1.4670085199867353
all_exact_kd	ligand_permutation	6	0.26276136237834713	1.469841078159274
all_exact_kd	ligand_permutation	7	0.2754524459420869	1.4735362765260007
all_exact_kd	ligand_permutation	8	0.26265017579226696	1.4783184018227833
all_exact_kd	ligand_permutation	9	0.2873604451242161	1.4509528841174557
all_exact_kd	ligand_permutation	10	0.28144505370312095	1.4558173106796888
all_exact_kd	ligand_permutation	11	0.2463546143633445	1.4739117250363394
all_exact_kd	ligand_permutation	12	0.26592463015577816	1.4545977609405338
all_exact_kd	ligand_permutation	13	0.2807313564720721	1.4606867808725896
all_exact_kd	ligand_permutation	14	0.26172413915986426	1.4670179485346335
all_exact_kd	ligand_permutation	15	0.30855689575303075	1.4400345829533483
all_exact_kd	ligand_permutation	16	0.2606040108954936	1.4791721264594153
all_exact_kd	ligand_permutation	17	0.27085219799473287	1.4539201832083772
all_exact_kd	ligand_permutation	18	0.2693392359563509	1.4601844148855405
all_exact_kd	ligand_permutation	19	0.27772914110423097	1.4561881825342537
all_exact_kd	ligand_permutation	20	0.2603714187864698	1.485632946108856
all_exact_kd	ligand_permutation	21	0.25912022722184547	1.4679255570088543
all_exact_kd	ligand_permutation	22	0.2944333421302948	1.4373793118007145
all_exact_kd	ligand_permutation	23	0.2754747427524169	1.4568060630999051
all_exact_kd	ligand_permutation	24	0.29291016384926255	1.4423719886380588
all_exact_kd	ligand_permutation	25	0.26071362158343725	1.4699476370018014
all_exact_kd	ligand_permutation	26	0.2522723296248018	1.4908354183100094
all_exact_kd	ligand_permutation	27	0.28948263936454793	1.4557783655950765
all_exact_kd	ligand_permutation	28	0.2599420925469778	1.463888527661719
all_exact_kd	ligand_permutation	29	0.2951081472337168	1.4457389027582292
all_exact_kd	ligand_permutation	30	0.249680348955148	1.4802930547511475
all_exact_kd	ligand_permutation	31	0.2748525272349163	1.4648345696690337
all_exact_kd	ligand_permutation	32	0.2901893066864322	1.4555532056443334
all_exact_kd	ligand_permutation	33	0.2570448306189223	1.4698970271482514
all_exact_kd	ligand_permutation	34	0.25373055616463586	1.4770690078776791
all_exact_kd	ligand_permutation	35	0.2597666502744744	1.480367474969052
all_exact_kd	ligand_permutation	36	0.271773951672493	1.464442069814967
all_exact_kd	ligand_permutation	37	0.2699926461707671	1.4521593463829636
all_exact_kd	ligand_permutation	38	0.25027115203051914	1.4828732776380251
all_exact_kd	ligand_permutation	39	0.2447153427569705	1.4813602011421727
all_exact_kd	ligand_permutation	40	0.26459339378146973	1.459030822842689
all_exact_kd	ligand_permutation	41	0.2809021082325363	1.449052623033296
all_exact_kd	ligand_permutation	42	0.267642805434128	1.4686335538905633
all_exact_kd	ligand_permutation	43	0.27312465909708544	1.4647869993178566
all_exact_kd	ligand_permutation	44	0.2560110663171199	1.4801874307153784
all_exact_kd	ligand_permutation	45	0.2835457248514887	1.4673566037960168
all_exact_kd	ligand_permutation	46	0.2777076426838569	1.463534144004177
all_exact_kd	ligand_permutation	47	0.2861627638301812	1.4519970718490987
all_exact_kd	ligand_permutation	48	0.29651199411035756	1.4386519083092995
all_exact_kd	ligand_permutation	49	0.27280124149640633	1.4535927279495615
all_exact_kd	ligand_permutation	50	0.2771593458243645	1.443348436635795
all_exact_kd	ligand_permutation	51	0.2859172101561675	1.442848304861632
all_exact_kd	ligand_permutation	52	0.2846138247609302	1.456259081397514
all_exact_kd	ligand_permutation	53	0.2562500588022506	1.4733466263979935
all_exact_kd	ligand_permutation	54	0.2787464165296046	1.4555358252612496
all_exact_kd	ligand_permutation	55	0.27391144166664927	1.466091759007149
all_exact_kd	ligand_permutation	56	0.28947482779621875	1.4627201925868865
all_exact_kd	ligand_permutation	57	0.3177726925491335	1.4384128136076564
all_exact_kd	ligand_permutation	58	0.28259290504634504	1.4607979274523453
all_exact_kd	ligand_permutation	59	0.26550554367092755	1.4653367495300025
all_exact_kd	ligand_permutation	60	0.29019921862237896	1.4501749089471883
all_exact_kd	ligand_permutation	61	0.2761643184561606	1.4649245090455616
all_exact_kd	ligand_permutation	62	0.2730291574036657	1.4696005103142844
all_exact_kd	ligand_permutation	63	0.28509218356833343	1.4524281116522693
all_exact_kd	ligand_permutation	64	0.2650760852853536	1.4682758513452656
all_exact_kd	ligand_permutation	65	0.27829689161285076	1.4671660317113007
all_exact_kd	ligand_permutation	66	0.2453812215097756	1.4845984333086966
all_exact_kd	ligand_permutation	67	0.28259944184207614	1.4552426948609767
all_exact_kd	ligand_permutation	68	0.2582743959185929	1.4695303042136143
all_exact_kd	ligand_permutation	69	0.255123089214326	1.4664750372404711
all_exact_kd	ligand_permutation	70	0.2576768452413134	1.4729250241112588
all_exact_kd	ligand_permutation	71	0.3008653485378364	1.434497995260703
all_exact_kd	ligand_permutation	72	0.2619575561294014	1.4753412314720953
all_exact_kd	ligand_permutation	73	0.28888995662410205	1.4549223354722123
all_exact_kd	ligand_permutation	74	0.28654309938983075	1.4652072348362482
all_exact_kd	ligand_permutation	75	0.28873153823914677	1.4444622971178593
all_exact_kd	ligand_permutation	76	0.27975023534695365	1.4421012370039923
all_exact_kd	ligand_permutation	77	0.2862649969743735	1.4594069145874522
