sensitivity	category	model_id	nonabstained_pairs	exact_proteins	eligible_within_target_groups	source_wide_spearman	within_target_centered_spearman	within_target_pairwise_concordance	target_rank_attenuation
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	1939	130	91	0.14428383317240442	0.1743937911104594	0.5517211945745318	-0.030109957938054988
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	1939	130	91	0.12354383570312709	0.14747834997306783	0.5360610140932648	-0.02393451426994074
nested_document_cap__10	locked_document_balance	global_top5_morgan_similarity_v1_8	1535	307	100	0.14988875164479729	0.06670033528552538	0.5163262609485686	0.0831884163592719
nested_document_cap__10	locked_document_balance	hgb_fusion_additive_pre2018_v1_8	1535	307	100	0.2715941852564565	0.15997178777583484	0.5513789988962465	0.11162239748062167
nested_document_cap__10	locked_document_balance	ligand_mpnn_frozen_esm2_v1_8	1535	307	100	0.19623925713123552	0.1616420869284786	0.5316836350508876	0.03459717020275693
nested_document_cap__10	locked_document_balance	smiles_protein_cross_attention_v1_8	1535	307	100	0.24537120528742404	0.20923058857161303	0.5510606897309387	0.03614061671581101
nested_document_cap__15	locked_document_balance	global_top5_morgan_similarity_v1_8	1990	320	116	0.15916971433486155	0.03494367906653318	0.5002053497119611	0.12422603526832837
nested_document_cap__15	locked_document_balance	hgb_fusion_additive_pre2018_v1_8	1990	320	116	0.2798290819470331	0.1580302912846204	0.5421491928054814	0.1217987906624127
nested_document_cap__15	locked_document_balance	ligand_mpnn_frozen_esm2_v1_8	1990	320	116	0.2039018534873625	0.1611942111392761	0.5322304183133536	0.04270764234808641
nested_document_cap__15	locked_document_balance	smiles_protein_cross_attention_v1_8	1990	320	116	0.22713047909128992	0.22266877907293817	0.5533629495102113	0.00446170001835175
nested_document_cap__20	locked_document_balance	global_top5_morgan_similarity_v1_8	2364	331	124	0.17485471802371658	0.03231742430403529	0.5048282899161985	0.1425372937196813
nested_document_cap__20	locked_document_balance	hgb_fusion_additive_pre2018_v1_8	2364	331	124	0.2799404254855989	0.14532494227965687	0.54579181784677	0.13461548320594202
nested_document_cap__20	locked_document_balance	ligand_mpnn_frozen_esm2_v1_8	2364	331	124	0.20686649998669177	0.15701905464561106	0.5271475664310736	0.04984744534108071
nested_document_cap__20	locked_document_balance	smiles_protein_cross_attention_v1_8	2364	331	124	0.21757452123194262	0.21184657858110914	0.54956514927128	0.005727942650833484
publication_to_entry_lag__0_90_days	locked_lag	global_top5_morgan_similarity_v1_8	270	21	15	0.22700419861820284	-0.029315656605430278	0.4928712575510605	0.2563198552236331
publication_to_entry_lag__0_90_days	locked_lag	hgb_fusion_additive_pre2018_v1_8	270	21	15	0.23815958597062464	-0.03872295994291391	0.4806558901780577	0.27688254591353856
publication_to_entry_lag__0_90_days	locked_lag	ligand_mpnn_frozen_esm2_v1_8	270	21	15	0.07515585039387727	0.16278340366620336	0.5443415054203231	-0.08762755327232609
publication_to_entry_lag__0_90_days	locked_lag	smiles_protein_cross_attention_v1_8	270	21	15	0.39316105028498927	0.09861017139503533	0.4712086167800454	0.2945508788899539
publication_to_entry_lag__91_365_days	locked_lag	global_top5_morgan_similarity_v1_8	1663	126	77	0.17388272099375815	-0.0010917080889532858	0.5079207048877924	0.17497442908271144
publication_to_entry_lag__91_365_days	locked_lag	hgb_fusion_additive_pre2018_v1_8	1663	126	77	0.1832554451316453	0.08266064490401161	0.5192776652401532	0.10059480022763369
publication_to_entry_lag__91_365_days	locked_lag	ligand_mpnn_frozen_esm2_v1_8	1663	126	77	0.15783494633962658	0.18229149815606369	0.540438853380899	-0.024456551816437105
publication_to_entry_lag__91_365_days	locked_lag	smiles_protein_cross_attention_v1_8	1663	126	77	0.08948674559122377	0.14155452304464988	0.5427136535680764	-0.05206777745342611
publication_to_entry_lag__over_365_days	locked_lag	global_top5_morgan_similarity_v1_8	365	92	21	-0.006923845787685226	-0.12286580448977152	0.44092316371441514	0.1159419587020863
publication_to_entry_lag__over_365_days	locked_lag	hgb_fusion_additive_pre2018_v1_8	365	92	21	0.18774211076312508	0.12176351438060268	0.5508814534155645	0.0659785963825224
publication_to_entry_lag__over_365_days	locked_lag	ligand_mpnn_frozen_esm2_v1_8	365	92	21	0.23579171921244974	-0.07629403935565635	0.4651669316176139	0.31208575856810605
publication_to_entry_lag__over_365_days	locked_lag	smiles_protein_cross_attention_v1_8	365	92	21	0.21323861253532944	0.1964370796282597	0.5416957284912385	0.016801532907069733
publication_to_entry_lag__unknown_or_negative	locked_lag	global_top5_morgan_similarity_v1_8	391	153	20	0.10113086959828842	0.1414537080204334	0.5487866908919541	-0.04032283842214497
publication_to_entry_lag__unknown_or_negative	locked_lag	hgb_fusion_additive_pre2018_v1_8	391	153	20	0.25623532692482215	0.2312838600089605	0.5859301663249031	0.024951466915861642
publication_to_entry_lag__unknown_or_negative	locked_lag	ligand_mpnn_frozen_esm2_v1_8	391	153	20	0.10357978282831386	0.07940735168500039	0.5097153528732475	0.024172431143313466
publication_to_entry_lag__unknown_or_negative	locked_lag	smiles_protein_cross_attention_v1_8	391	153	20	0.20046982590533863	0.3068243514575598	0.5479757961336909	-0.10635452555222119
