sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
source_origin__database_entry_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	768	66	42	0.532091191698197	0.017981487401129013	0.503730607783399	0.5737876901848069	2000
source_origin__database_entry_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	768	66	42	0.2189908978942604	0.11551598402084323	-0.027304038842607903	0.4209540496777896	2000
source_origin__database_entry_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	768	66	42	0.2703869284787565	0.11664453029600788	0.024848635630851372	0.47778638626618614	2000
source_origin__database_entry_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	768	66	42	0.17845846640782978	0.07317303125988736	0.008196567130664075	0.3023343000875634	2000
source_origin__database_entry_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	768	66	42	0.5595891256675787	0.020988606931484705	0.5119174710297597	0.5959435781086541	2000
source_origin__database_entry_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	768	66	42	0.09192846207092673	0.12815210106527627	-0.14397007451485058	0.35161043645785606	2000
source_origin__database_entry_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	source_wide_spearman	768	66	42	0.15803335514012815	0.11241118159467094	-0.07419944393682103	0.36296144960063753	2000
source_origin__database_entry_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	768	66	42	0.1432805040433914	0.06683183961351923	0.027592451813411738	0.28461646569803484	2000
source_origin__database_entry_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	768	66	42	0.5529962870374759	0.01997745014956315	0.5174346417081587	0.5971787444332911	2000
source_origin__database_entry_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	target_rank_attenuation	768	66	42	0.014752851096736741	0.11521340279505189	-0.2291310383163664	0.21351379416689395	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	source_wide_spearman	1921	297	97	0.16716521153542807	0.058354352956442514	0.04781439058747724	0.27688844501949156	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	1921	297	97	0.050319034775606265	0.04820680157979369	-0.045891600074223056	0.14625218993211986	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	1921	297	97	0.49665987729017597	0.018373593122662416	0.4688588340221039	0.541888353065363	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	target_rank_attenuation	1921	297	97	0.11684617675982181	0.06842506439341099	-0.02370870706714303	0.24895212891148674	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	1921	297	97	0.24535094882155623	0.06482701785474325	0.11328310750634119	0.3654801832142071	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	1921	297	97	0.12779292802880332	0.0481598473585479	0.022765641237776597	0.20760462302675467	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	1921	297	97	0.5448618249923909	0.015955868287692174	0.5126035247067064	0.5757008930774994	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	1921	297	97	0.1175580207927529	0.07574546082617803	-0.023383289160515658	0.2835850720943946	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	1921	297	97	0.19017544583764528	0.07282989274963474	0.0450377793195653	0.32658109117469847	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	1921	297	97	0.13860052063578093	0.05134763447232302	0.016955206131471702	0.21856866378052553	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	1921	297	97	0.512009225673779	0.01781161764535369	0.47022951564543336	0.5395005226462994	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	1921	297	97	0.05157492520186435	0.09216425728432852	-0.10807192870565821	0.253546425089955	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	source_wide_spearman	1921	297	97	0.22008090889852214	0.06560300690419693	0.08601624534372118	0.34178336070836607	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	1921	297	97	0.22400708699360464	0.04748368024285536	0.10072987890409699	0.28808620199739055	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	1921	297	97	0.5311386615943523	0.016822636243871775	0.5018346158173054	0.5690311918613464	2000
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	target_rank_attenuation	1921	297	97	-0.0039261780950825	0.07290966829307655	-0.12073038032417953	0.16188304209569812	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	source_wide_spearman	330	19	16	0.07843086962155435	0.15157401311199514	-0.22761521132279947	0.3696011141059604	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	330	19	16	0.02786138057501443	0.11844696584885994	-0.1487379835533199	0.31049599800042743	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	330	19	16	0.5211226300915588	0.043531389500641754	0.4250217122116089	0.586183229633752	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	target_rank_attenuation	330	19	16	0.05056948904653992	0.10085485516293746	-0.1651496910261226	0.2398681218309605	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	330	19	16	0.08846743791293703	0.24356097091412846	-0.4186194168969744	0.5214579358481714	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	330	19	16	0.048673915106276125	0.0671052962679391	-0.05355592816032334	0.21315836897752252	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	330	19	16	0.5330219478253919	0.02388661239208468	0.487759324009324	0.5808503415776144	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	330	19	16	0.0397935228066609	0.21892134402354718	-0.4437944512351836	0.3885008781589504	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	330	19	16	0.3606198691557046	0.20319775326961134	-0.11601405700050782	0.6885515301936179	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	330	19	16	0.1449212907045704	0.10936290736695396	-0.09131095264919264	0.32940696782876633	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	330	19	16	0.5231887894717622	0.02770434828804318	0.462527032215366	0.5742937736901541	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	330	19	16	0.2156985784511342	0.20620268373349795	-0.21407062792377374	0.5962550027157277	2000
