source	stratum	model_id	estimate	low	high	scheme	model_label_plot	stratum_plot
BioLiP/MOAD	protein_identity_cold	hgb_protein	0.081562531585904	-0.0594865773640087	0.222611640535817	Three way	HGB protein	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_fusion_additive	0.2454868510628	0.109907608959678	0.381066093165922	Three way	HGB additive	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_fusion_interaction	0.291163885271159	0.186726622183499	0.395601148358818	Three way	HGB interaction	Target cold
BioLiP/MOAD	protein_identity_cold	phase15_esm2_aft_frozen	0.128141614874596	0.00614405738634957	0.250139172362843	Three way	Frozen ESM2-AFT	Target cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	0.387639662185052	0.302152054537357	0.473127269832746	Three way	HGB ligand	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	-0.0292989379396784	-0.166667412431602	0.108069536552245	Three way	HGB protein	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	0.234040395599365	0.10771704456565	0.36036374663308	Three way	HGB additive	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	0.24557706422415	0.119772456530604	0.371381671917696	Three way	HGB interaction	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	0.283908989131822	0.133194249051767	0.434623729211878	Three way	Frozen ESM2-AFT	Double cold
ChEMBL37	overall	hgb_molecule	0.15669558518856	0.049777980564303	0.263613189812817	Three way	HGB ligand	Overall
ChEMBL37	overall	hgb_protein	0.118251360719027	0.038106346257375	0.198396375180679	Three way	HGB protein	Overall
ChEMBL37	overall	hgb_fusion_additive	0.21523142484583	0.113846006253083	0.316616843438577	Three way	HGB additive	Overall
ChEMBL37	overall	hgb_fusion_interaction	0.206229166135601	0.0924022039070797	0.320056128364123	Three way	HGB interaction	Overall
ChEMBL37	overall	phase15_esm2_aft_frozen	0.205985660203322	0.102180181025781	0.309791139380863	Three way	Frozen ESM2-AFT	Overall
ChEMBL37	drug_cold	hgb_molecule	0.196007377202472	0.113577019626635	0.278437734778309	Three way	HGB ligand	Ligand cold
ChEMBL37	drug_cold	hgb_protein	0.242626911129357	0.0819229338360803	0.403330888422633	Three way	HGB protein	Ligand cold
ChEMBL37	drug_cold	hgb_fusion_additive	0.308712294957789	0.186504902980512	0.430919686935066	Three way	HGB additive	Ligand cold
ChEMBL37	drug_cold	hgb_fusion_interaction	0.300813474322629	0.167752868649692	0.433874079995565	Three way	HGB interaction	Ligand cold
ChEMBL37	drug_cold	phase15_esm2_aft_frozen	0.263358988054878	0.143301264967559	0.383416711142198	Three way	Frozen ESM2-AFT	Ligand cold
ChEMBL37	protein_identity_cold	hgb_molecule	0.222173037557201	-0.0538110722661304	0.498157147380533	Three way	HGB ligand	Target cold
ChEMBL37	protein_identity_cold	hgb_protein	0.105756421347209	0.103371855387055	0.108140987307363	Three way	HGB protein	Target cold
ChEMBL37	protein_identity_cold	hgb_fusion_additive	0.211338529215751	0.0506979233755942	0.371979135055908	Three way	HGB additive	Target cold
ChEMBL37	protein_identity_cold	hgb_fusion_interaction	0.213500491244773	0.0422185154778827	0.384782467011663	Three way	HGB interaction	Target cold
ChEMBL37	protein_identity_cold	phase15_esm2_aft_frozen	0.223897648913628	0.0383201304354242	0.409475167391831	Three way	Frozen ESM2-AFT	Target cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	0.132283929472624	0.0263455795109082	0.23822227943434	Three way	HGB ligand	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	0.0339234726423259	-0.0296260160448762	0.0974729613295281	Three way	HGB protein	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	0.162632112626948	0.0720842924940375	0.253179932759858	Three way	HGB additive	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	0.15643321805019	0.0587818023663179	0.254084633734061	Three way	HGB interaction	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	0.176688327118712	0.084562916232957	0.268813738004467	Three way	Frozen ESM2-AFT	Double cold
BioLiP/MOAD	overall	hgb_molecule	0.439831421969678	0.343172445958279	0.536490397981076	SE envelope	HGB ligand	Overall
BioLiP/MOAD	overall	hgb_protein	0.231366781895665	0.0879662621741278	0.374767301617203	SE envelope	HGB protein	Overall
BioLiP/MOAD	overall	hgb_fusion_additive	0.434844253869656	0.323882600814184	0.545805906925128	SE envelope	HGB additive	Overall
BioLiP/MOAD	overall	hgb_fusion_interaction	0.436091393961134	0.32824676934116	0.543936018581109	SE envelope	HGB interaction	Overall
BioLiP/MOAD	overall	phase15_esm2_aft_frozen	0.426827729233303	0.304087088680144	0.549568369786462	SE envelope	Frozen ESM2-AFT	Overall
