source	stratum	model_id	model_label	n	mae	baseline_mae	mae_delta_vs_development_median	mae_relative_improvement_vs_development_median	rmse	spearman	r2	calibration_intercept	calibration_slope	prediction_mean	prediction_sd	prediction_min	prediction_max	outcome_mean	outcome_sd	outcome_min	outcome_max	prediction_sd_to_outcome_sd_ratio	interval_90_coverage	interval_mean_half_width_pkd
BioLiP/MOAD	drug_cold	hgb_fusion_interaction	HGB interaction fusion	291	1.3258567534196855	1.6827405966001032	-0.35688384318041777	0.2120848833750636	1.7063996594765092	0.5261343321524207	0.31457201471616614	-1.5661953298679865	1.2405733468273623	6.086589850502141	0.955190231959757	3.6658088639037976	8.05474474239422	5.984665811734907	2.064654253360931	1.4436974992327127	13.113509274827518	0.4626393161977887		
BioLiP/MOAD	drug_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	291	1.2153417847697672	1.6827405966001032	-0.46739881183033605	0.2777604657394568	1.61846953551622	0.6175512210274686	0.38339168226394704	-0.8344563200136125	1.1262938647696605	6.054478626804124	1.1439668391148352	3.1148343	8.53591	5.984665811734907	2.064654253360931	1.4436974992327127	13.113509274827518	0.5540718680876655	0.6735395189003437	1.455871253765381
BioLiP/MOAD	protein_identity_cold	development_median	Development median	365	1.7655494676876677	1.7655494676876677	0.0	0.0	2.07235430213244		-0.6558421753422585	4.870344301309098		6.174574367411814	0.0	6.174574367411814	6.174574367411814	4.870344301309098	1.6126877139293836	1.453457336521869	12.568636235841012	0.0		
BioLiP/MOAD	protein_identity_cold	hgb_molecule	HGB ligand only	365	1.2361051818281723	1.7655494676876677	-0.5294442858594954	0.29987507886307274	1.544676290283725	0.23710865516431298	0.08004647660782316	0.6429069597133419	0.84148050757199	5.023808993263095	0.5825816634000935	3.6615647641528484	7.454010290367192	4.870344301309098	1.6126877139293836	1.453457336521869	12.568636235841012	0.36124890043380314		
BioLiP/MOAD	protein_identity_cold	hgb_protein	HGB protein only	365	1.7429249311715156	1.7655494676876677	-0.02262453651615215	0.012814444981699369	2.081572785270914	0.08156253158590396	-0.6706063529516235	3.6310743954679205	0.202943745203177	6.106470069331206	0.597191001536923	4.310023853061867	7.6679270388266785	4.870344301309098	1.6126877139293836	1.453457336521869	12.568636235841012	0.3703079005183472		
BioLiP/MOAD	protein_identity_cold	hgb_fusion_additive	HGB additive fusion	365	1.3300764327143384	1.7655494676876677	-0.43547303497332934	0.24665014656523132	1.6217867161949233	0.2454868510627998	-0.014094445220217633	0.8600642798453003	0.7527379866827026	5.327590864833327	0.5850101322914907	3.971671610326154	7.273882493392284	4.870344301309098	1.6126877139293836	1.453457336521869	12.568636235841012	0.3627547523544333		
BioLiP/MOAD	protein_identity_cold	hgb_fusion_interaction	HGB interaction fusion	365	1.3291924753481004	1.7655494676876677	-0.4363569923395674	0.2471508164033841	1.612289988487532	0.2911638852711586	-0.002252713213135804	0.3203464306336181	0.8490315739095298	5.359044363596674	0.5785120312160406	4.021779489508278	7.279488332461525	4.870344301309098	1.6126877139293836	1.453457336521869	12.568636235841012	0.3587253912950517		
BioLiP/MOAD	protein_identity_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	365	1.3789828793322567	1.7655494676876677	-0.386566588355411	0.21894973515621485	1.7279635429151412	0.12814161487459613	-0.1512246413198448	3.096835355173443	0.33388098907956715	5.311799725479451	0.7717512546720946	2.8194284	7.395152	4.870344301309098	1.6126877139293836	1.453457336521869	12.568636235841012	0.4785497204487837	0.6136986301369863	1.4558712537653813
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	development_median	Development median	704	1.5895174731174813	1.5895174731174813	0.0	0.0	1.9334350473907969		-0.3891686614097003	5.151231826475797		6.174574367411814	0.0	6.174574367411814	6.174574367411814	5.151231826475797	1.6415751347883893	0.0457574905606751	10.045757490560677	0.0		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	HGB ligand only	704	1.2466544364201086	1.5895174731174813	-0.3428630366973726	0.21570259056348962	1.537022750877717	0.38763966218505236	0.12207706309602795	0.10545203257083914	0.9289206907410329	5.43187361870448	0.6895124598287551	3.6042719416341873	7.504730493734372	5.151231826475797	1.6415751347883893	0.0457574905606751	10.045757490560677	0.4200310087650287		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	HGB protein only	704	1.664672848801289	1.5895174731174813	0.0751553756838077	-0.04728188079392881	2.028090417714286	-0.02929893793967839	-0.5285175517544509	5.152789563914818	-0.0002524128875053549	6.171386312365271	0.6179355487701894	4.428099501708462	7.82917519510912	5.151231826475797	1.6415751347883893	0.0457574905606751	10.045757490560677	0.3764284288150147		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	HGB additive fusion	704	1.3662662182305292	1.5895174731174813	-0.22325125488695208	0.14045221814963438	1.690591967336518	0.23404039559936538	-0.062119558095779404	1.309973840559245	0.6738980217090078	5.7000582613005895	0.621269990747304	4.177455397482401	7.719712196982704	5.151231826475797	1.6415751347883893	0.0457574905606751	10.045757490560677	0.378459674236836		
